theme,cosine_similarity,English Responses,Question ID,Question,Participant ID,run_id,timestamp,PRI_Score,PRI_Scale_1_5,fear_score,fear_intensity,fear_keywords,theme_fear_economic_job_loss,theme_fear_surveillance_control,theme_fear_social_isolation,theme_fear_safety_security,theme_fear_cultural_values,theme_fear_technology_dependence,theme_intensity,response_length,response_length_norm,fear_index,fear_category,persona_cluster
cultural integrity and diversity,0.6496463885684463,1 since cultural diversity would be maintained,b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,9fef933b-9bfe-4d9b-a2bd-4c33e432fca9,728108ca,20250523_160029,0.6995833333333333,3.798333333333334,0.0,none,[],0.0,0.0,0.0,0.0,0.0,0.0,0.6496463885684463,46,0.05227272727272727,0.4050024948213179,High,6
cultural integrity and diversity,0.6022716660986225,1 ....as it upholds and acknowledges importance of the different cultures,b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,7f2f00be-6c9f-4259-bbe9-29ac712ec99b,728108ca,20250523_160029,0.7291666666666666,3.9166666666666665,0.0,none,[],0.0,0.0,0.0,0.0,0.125,0.0,0.6022716660986225,73,0.08295454545454546,0.3950374543182369,Moderate,6
cultural integrity and diversity,0.5960079557336553,1. Respect for different cultures is necessary,63a99154-3b0e-4375-aaa1-6665f699f6d6,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,c108ed2c-de31-447f-a228-627e84aa5d1e,728108ca,20250523_160029,0.59,3.36,0.0,none,[],0.0,0.0,0.0,0.0,0.125,0.0,0.5960079557336553,46,0.05227272727272727,0.3616304550207349,Moderate,6
cultural integrity and diversity,0.5869313735405989,"1, cultural aspects of life should always remain unique without intereference. Each persons culture should be maintained.",b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,4b5d54b1-98cf-4d65-9a20-7ee95787ac66,728108ca,20250523_160029,0.7616666666666667,4.046666666666667,0.0,none,[],0.0,0.0,0.0,0.0,0.125,0.0,0.5869313735405989,121,0.1375,0.4008558827495729,High,6
cultural integrity and diversity,0.5710000375792094,Scenario 1 which upholds and respects cultural differences,b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,f98ea469-7d07-4548-adab-d6665adf52cf,728108ca,20250523_160029,0.7383333333333333,3.953333333333333,0.0,none,[],0.0,0.0,0.0,0.0,0.0,0.0,0.5710000375792094,58,0.0659090909090909,0.38265759078925954,Moderate,6
cultural integrity and diversity,0.5662168508004448,I prefer option 1. We must respect cultural diversity,b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,31fcf7e7-1ec9-4219-a179-7cb173c320f5,728108ca,20250523_160029,0.6516666666666667,3.606666666666667,0.0,none,[],0.0,0.0,0.0,0.0,0.0,0.0,0.5662168508004448,53,0.060227272727272727,0.3628428009262386,Moderate,6
cultural integrity and diversity,0.5622957441021781,1. Respect different cultures,b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,c108ed2c-de31-447f-a228-627e84aa5d1e,728108ca,20250523_160029,0.59,3.36,0.0,none,[],0.0,0.0,0.0,0.0,0.125,0.0,0.5622957441021781,29,0.03295454545454545,0.3462137521863258,Moderate,6
cultural integrity and diversity,0.5603507402498882,2 I feel diversity is very important in ensuring quality of work,eb87f6c5-a2de-49f2-a1a5-5efd42cd19bf,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,3168809e-c0f1-449c-8706-27886f42995e,728108ca,20250523_160029,0.6329166666666667,3.5316666666666667,0.0,none,[],0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.5603507402498882,64,0.07272727272727272,0.3579963567060159,Moderate,6
cultural integrity and diversity,0.5558725737335913,Option 2: Diversity and equality,b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,5aed4ee8-ef9f-4277-a387-e11f22bacd9a,728108ca,20250523_160029,0.6429166666666667,3.5716666666666668,0.0,none,[],0.0,0.0,0.0,0.0,0.0,0.0,0.5558725737335913,32,0.03636363636363636,0.35456872646313353,Moderate,6
cultural integrity and diversity,0.5552328240316099,senario 1 since the cultural values will be preserved,b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,edd0a047-d6c3-47bd-b680-b9a47cb081a4,728108ca,20250523_160029,0.79625,4.1850000000000005,0.0,none,[],0.0,0.0,0.0,0.0,0.125,0.0,0.5552328240316099,53,0.060227272727272727,0.38736585688537123,Moderate,6
