English Responses,Question ID,Participant ID,Question,cluster
Most jobs considered to be exclusively manual labour intensive might get replaced by machines and artificial intelligence. ,0f541814-99f4-46bb-8a9a-99332e54a800,39407023-1722-40aa-8432-e34596bcdc7f,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,0
Every operation will be automated with AI replacing humans in various industries to enhance production. ,0f541814-99f4-46bb-8a9a-99332e54a800,852642b1-8686-4f96-825c-1149ec1c009c,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,0
"firstly i see that some jobs might be totally taken over by Ai,

fast chANGING TECH THAT WE STRUGLE TO CATCH UP.

NEW CAREEERS SUCH AS AI TECHINICIANS SPRINGING UP

NORMAL FARMING REDUCTION AND DEPENDANCY INCREASE ON GENETICALLY FOODS.

LACK OF PRIVACY AS COLLECTION OF DATA WILL BE AS EASY AS PORING WATER FROM A BOTTLE",0f541814-99f4-46bb-8a9a-99332e54a800,3c8a5f64-35af-41bb-93e3-e4111cf58127,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,0
"Technology will advance massively...people will be using AI often compared to now.
I think climate wise there will be a lot of heat.
Lie will be simple as we will have technologies hat will be helping us perform asks.",0f541814-99f4-46bb-8a9a-99332e54a800,2c5fabfc-4068-4283-85c3-6d716af73788,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,0
Maybe I see many advanced technologies that will exist. AI technology that can help human work and even replace hard human labor.,0f541814-99f4-46bb-8a9a-99332e54a800,52239423-e2fd-42aa-89ac-8c9d905b7c4f,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,0
technology keeps changing,0f541814-99f4-46bb-8a9a-99332e54a800,124681f4-e011-4ef0-8600-5a476c90b991,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,2
"In 30 years, the application of artificial intelligence will be more extensive than it is now. Many professions will be replaced by artificial intelligence, such as graphic designers, accountants, etc., which will lead to major changes in some industries. Workers in certain industries may face the risk of unemployment or the need to change careers.
",0f541814-99f4-46bb-8a9a-99332e54a800,6c25356d-630a-412f-ae71-0bb4a5c8a83a,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,0
Many jobs are being replaced by AI,0f541814-99f4-46bb-8a9a-99332e54a800,afd34a32-5863-48b2-9190-1786abb0ad8c,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,0
"In the next 30 years, robotics and artificial intelligence will replace human labour, rendering a significant portion of the population jobless. We are also likely to experience a shortage in food due to climate change and decipating food and vegetation cover.",0f541814-99f4-46bb-8a9a-99332e54a800,91666811-bceb-420e-8c8a-b8b126e2f71a,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,0
"Technology will be more involved, and international interactions will be even more prominent. ",0f541814-99f4-46bb-8a9a-99332e54a800,90a9d51a-3bfe-4e2e-a4f1-cdce86057b37,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,2
"Artificial intelligence will become more common. Self-driving cars will become more common, trucks will become more common, and so on. Many jobs will disappear and new ones will appear. People will be poorer. Inequality will increase. Opportunities to create new things will decrease.",0f541814-99f4-46bb-8a9a-99332e54a800,3b22632e-256d-4069-bcdb-0e2ec2d1dc55,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,0
"Advances in technology and medicine

",0f541814-99f4-46bb-8a9a-99332e54a800,b05429a8-5b0b-485e-ad2f-d24dc6b67d23,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,2
"Artificial intelligence will play a huge role. Robotics will come into the picture. Climate change will change cultural and values such as change in food, vegetation colour, taste & it's climate. There will be social unrest. Govt might spend more on internal security rather than border security. Inequality will grow, rich will be more richer and poor will be more poorer. Crime against women will grow.",0f541814-99f4-46bb-8a9a-99332e54a800,ac0f2355-5741-438d-8d7f-9d3a193ec0c3,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,0
